No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
25,Forms,Style validation states with CSS,Use Blazor CSS classes for valid/invalid styling,modified invalid CSS classes,Custom JS validation styling,.valid.modified { border-color: green; },JavaScript classList manipulation,Low,https://learn.microsoft.com/aspnet/core/blazor/forms/validation#custom-validation-css-class-attributes
26,Layout,Use CSS isolation per component,Scoped CSS avoids style collisions across components,Component.razor.css for scoped styles,Global CSS for component styles,MyComponent.razor.css,site.css with .my-component class,High,https://learn.microsoft.com/aspnet/core/blazor/components/css-isolation
27,Layout,Use HeadContent for page metadata,HeadContent sets title and meta tags per page,<HeadContent> for page-specific meta,Hardcode title in index.html,<HeadContent><title>@pageTitle</title></HeadContent>,<title> in _Host.cshtml only,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/control-head-content
28,Layout,Create layout components,Use @inherits LayoutComponentBase for shared layouts,Layout components for shared chrome,Duplicate header/footer in every page,@inherits LayoutComponentBase with @Body,Copy navigation into each page,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/layouts
29,Layout,Build responsive layouts with CSS,Use CSS grid or flexbox for adaptive layouts,CSS grid and media queries,Fixed pixel widths,"display: grid; grid-template-columns: repeat(auto-fit, minmax(300px, 1fr))",width: 1200px on container,Medium,
30,Layout,Use CSS custom properties for design tokens,CSS variables enable consistent theming,CSS custom properties for colors and spacing,Hardcoded color values,var(--primary-color),color: #3b82f6 repeated,Medium,
31,Layout,Wrap sections in ErrorBoundary,ErrorBoundary isolates failures per layout section,<ErrorBoundary> around independent sections,Single ErrorBoundary at root only,<ErrorBoundary><Widget /></ErrorBoundary>,One ErrorBoundary wrapping entire app,High,https://learn.microsoft.com/aspnet/core/blazor/fundamentals/handle-errors#error-boundaries
32,Layout,Maintain consistent spacing,Use a spacing scale for margins and padding,Spacing utility classes or variables,Arbitrary pixel values,padding: var(--space-4),padding: 13px,Low,
33,Navigation,Use NavigationManager for programmatic navigation,NavigationManager handles URI changes in code,NavigationManager.NavigateTo for redirects,Window.location via JS interop,NavigationManager.NavigateTo("/dashboard"),JSRuntime.InvokeVoidAsync("location.assign"),Medium,https://learn.microsoft.com/aspnet/core/blazor/fundamentals/routing#navigation-manager
34,Navigation,Use enhanced navigation in .NET 8,Enhanced nav intercepts links for SPA-like transitions,data-enhance-nav for smooth page transitions,Full page reloads between pages,<a href="/page" data-enhance-nav>,Full page navigation for every link,Medium,https://learn.microsoft.com/aspnet/core/blazor/fundamentals/routing#enhanced-navigation-and-form-handling
35,Navigation,Show loading indicators during navigation,Display progress for slow page transitions,Loading indicator during async navigation,Blank screen during data load,<p>Loading...</p> while data is null,No feedback while OnInitializedAsync runs,Medium,
36,Navigation,Use NavLink for active styling,NavLink applies active CSS class automatically,NavLink for nav menus,Manual active class logic,<NavLink href="/home" Match="NavLinkMatch.All">,<a class="@(IsActive ? "active" : "")">,Low,https://learn.microsoft.com/aspnet/core/blazor/fundamentals/routing#navlink-component
37,JS Interop,Prefer .NET solutions over JS,Use .NET APIs before reaching for JavaScript,Blazor built-in features first,JS for things .NET handles,@bind and EventCallback,.addEventListener via JS,Medium,https://learn.microsoft.com/aspnet/core/blazor/javascript-interoperability/
38,JS Interop,Use IJSRuntime for DOM operations,.NET cannot access DOM directly; use JS interop when needed,IJSRuntime.InvokeAsync for DOM manipulation,Direct DOM access assumptions,await JS.InvokeAsync<string>("getElementValue"),Assume direct DOM access,Medium,https://learn.microsoft.com/aspnet/core/blazor/javascript-interoperability/call-javascript-from-dotnet
39,JS Interop,Dispose JS object references,IJSObjectReference must be disposed to avoid memory leaks,await module.DisposeAsync() in Dispose,Skip disposal of JS module references,await using var module = await JS.InvokeAsync<IJSObjectReference>(...),JS.InvokeAsync without disposal,High,https://learn.microsoft.com/aspnet/core/blazor/javascript-interoperability/call-javascript-from-dotnet#capture-references-to-elements
40,JS Interop,Use ElementReference for targeted DOM access,ElementReference provides safe reference to specific elements,ElementReference for focus or measure,Query selectors via JS interop,<input @ref="inputRef" />,JS.InvokeAsync("document.getElementById"),Medium,https://learn.microsoft.com/aspnet/core/blazor/javascript-interoperability/call-javascript-from-dotnet#capture-references-to-elements
41,Error Handling,Wrap components in ErrorBoundary,ErrorBoundary catches unhandled exceptions in child components,ErrorBoundary with custom ErrorContent,Let errors crash the circuit,<ErrorBoundary><ChildContent>...<ErrorContent>...,No error boundary around components,High,https://learn.microsoft.com/aspnet/core/blazor/fundamentals/handle-errors#error-boundaries
42,Error Handling,Show circuit disconnection UI,Display reconnection UI when SignalR connection drops,components-reconnect-modal for disconnect state,Silent failure on disconnect,<div id="components-reconnect-modal">,No reconnect UI,High,https://learn.microsoft.com/aspnet/core/blazor/fundamentals/handle-errors#reconnection-ui
43,Error Handling,Display user-friendly error messages,Show actionable messages not stack traces to users,User-friendly messages with retry actions,Raw exception messages in UI,<p>Something went wrong. <button>Retry</button></p>,<p>@exception.StackTrace</p>,Medium,
44,Performance,Override ShouldRender to skip re-renders,ShouldRender returning false prevents unnecessary rendering,ShouldRender for components with rare changes,Override ShouldRender everywhere,protected override bool ShouldRender() => hasChanged;,ShouldRender on every component,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/rendering#suppress-ui-refreshing
45,Performance,Lazy load assemblies,Load assemblies on demand for faster initial load,LazyAssemblyLoader for large feature modules,Load all assemblies upfront,LazyAssemblyLoader.LoadAssembliesAsync,Reference all projects in startup,Medium,https://learn.microsoft.com/aspnet/core/blazor/webassembly-lazy-load-assemblies
46,Performance,Avoid synchronous JS interop,Sync JS interop blocks the UI thread,InvokeAsync for JS interop calls,InvokeVoidAsync replaced with sync calls,await JS.InvokeAsync<string>("func"),((IJSInProcessRuntime)JS).Invoke<string>("func"),High,https://learn.microsoft.com/aspnet/core/blazor/javascript-interoperability/call-javascript-from-dotnet
47,Performance,Use @key for efficient list diffing,@key helps the diff algorithm preserve and reuse DOM elements,@key with stable unique identifier,@key with loop index,@key="item.Id",@key="index",High,
48,Accessibility,Manage focus after navigation,Move focus to main content after page navigation,Focus h1 or main content after navigate,No focus management after navigation,JS.InvokeVoidAsync("focusElement" "main-heading"),Ignore focus on route change,High,
49,Accessibility,Use semantic HTML elements,Proper elements convey meaning to assistive technologies,button nav main header footer,div and span for everything,<button @onclick="Submit">,<div @onclick="Submit">,High,
50,Accessibility,Add ARIA attributes where needed,ARIA fills gaps where HTML semantics are insufficient,aria-label aria-live aria-expanded,Skip ARIA on custom interactive elements,"<div role=""alert"" aria-live=""polite"">",<div class="alert"> without role,Medium,https://learn.microsoft.com/aspnet/core/blazor/components/#blazor-and-accessibility
51,Testing,Use bUnit for component testing,bUnit provides a test framework for Blazor components,bUnit for rendering and asserting components,Manual testing of components only,var cut = RenderComponent<MyComponent>(),Manual browser testing only,Medium,https://bunit.dev/
52,Testing,Test parameter binding and events,Verify component behavior with various parameters and event triggers,Test parameter values and event callbacks,Test internal component state only,"cut.Find(""button"").Click()",Inspect private fields in tests,Medium,https://bunit.dev/docs/interaction/trigger-event-handlers
